,model_layer,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,0.0,0.9112271540469974,0.7195876288659794,0.804147465437788,485.0,0.5191011235955056,0.7857142857142857,0.625169147496617,294.0,0.7808219178082192,0.7519788918205804,0.7661290322580645,379.0,0.6155913978494624,0.726984126984127,0.6666666666666666,315.0,0.7478005865102639,0.7306590257879656,0.7391304347826088,349.0,0.8892128279883382,0.7142857142857143,0.7922077922077922,427.0,0.7354379724321921,0.7439591679664644,0.7382016122431088,0.7322417564749228,2249.0,0.7670431211493423,0.7354379724321921,0.7427316150907055,2249.0
1,1.0,0.8816120906801007,0.7216494845360825,0.7936507936507936,485.0,0.5021459227467812,0.7959183673469388,0.6157894736842107,294.0,0.813953488372093,0.7387862796833773,0.7745504840940526,379.0,0.6455331412103746,0.7111111111111111,0.6767371601208461,315.0,0.7283236994219653,0.7220630372492837,0.7251798561151079,349.0,0.8767908309455588,0.7166276346604216,0.7886597938144331,427.0,0.7318808359270788,0.7413931955628122,0.7343593190978691,0.7290945935799074,2249.0,0.7628362528918244,0.7318808359270788,0.7392330283843668,2249.0
2,2.0,0.8645320197044335,0.7237113402061855,0.7878787878787878,485.0,0.5064377682403434,0.8027210884353742,0.6210526315789474,294.0,0.7922437673130194,0.7546174142480211,0.772972972972973,379.0,0.6537313432835821,0.6952380952380952,0.6738461538461538,315.0,0.7432835820895523,0.7134670487106017,0.7280701754385965,349.0,0.8786127167630058,0.711943793911007,0.7865459249676585,427.0,0.7314361938639395,0.7398068662323226,0.7336164634582142,0.7283944411138528,2249.0,0.7598710958525261,0.7314361938639395,0.7380527266398302,2249.0
3,3.0,0.847457627118644,0.7216494845360825,0.7795100222717148,485.0,0.49195402298850577,0.7278911564625851,0.5871056241426612,294.0,0.7698630136986301,0.741424802110818,0.7553763440860215,379.0,0.6091954022988506,0.6730158730158731,0.6395173453996984,315.0,0.7537537537537538,0.7191977077363897,0.7360703812316715,349.0,0.8535211267605634,0.7096018735362998,0.7749360613810743,427.0,0.7163183637172077,0.7209574911031579,0.7154634828996747,0.7120859630854737,2249.0,0.7411470195704324,0.7163183637172077,0.7230739323116067,2249.0
4,4.0,0.8317073170731707,0.7030927835051546,0.7620111731843575,485.0,0.4717391304347826,0.7380952380952381,0.5755968169761273,294.0,0.7464788732394366,0.6992084432717678,0.7220708446866485,379.0,0.596045197740113,0.6698412698412698,0.6307922272047832,315.0,0.7477203647416414,0.7048710601719198,0.7256637168141593,349.0,0.841642228739003,0.6721311475409836,0.7473958333333334,427.0,0.6967541129390841,0.7058888519946912,0.6978733237377223,0.6939217686999015,2249.0,0.7261337138019488,0.6967541129390841,0.7041173601123237,2249.0
5,5.0,0.8004926108374384,0.6701030927835051,0.7295173961840627,485.0,0.4543524416135881,0.7278911564625851,0.5594771241830065,294.0,0.736231884057971,0.6701846965699209,0.7016574585635359,379.0,0.5702702702702702,0.6698412698412698,0.6160583941605838,315.0,0.7057057057057057,0.673352435530086,0.689149560117302,349.0,0.8641975308641975,0.6557377049180327,0.7456724367509987,427.0,0.6754112939084037,0.6885417405581952,0.6778517260175665,0.6735887283265817,2249.0,0.7095549978897119,0.6754112939084037,0.6835056067536031,2249.0
6,6.0,0.7661691542288557,0.6350515463917525,0.6944757609921083,485.0,0.44398340248962653,0.7278911564625851,0.5515463917525774,294.0,0.6974789915966386,0.6569920844327177,0.6766304347826088,379.0,0.5298701298701298,0.6476190476190476,0.5828571428571429,315.0,0.7197452229299363,0.6475644699140402,0.6817496229260934,349.0,0.8640776699029126,0.6252927400468384,0.7255434782608695,427.0,0.6527345486883059,0.6702207618363499,0.6567351741444969,0.6521338052619,2249.0,0.6907643560285698,0.6527345486883059,0.6610742559615993,2249.0
7,7.0,0.7918781725888325,0.643298969072165,0.7098976109215017,485.0,0.42971887550200805,0.7278911564625851,0.5404040404040403,294.0,0.7008797653958945,0.6306068601583114,0.663888888888889,379.0,0.5347593582887701,0.6349206349206349,0.5805515239477504,315.0,0.7027863777089783,0.6504297994269341,0.6755952380952381,349.0,0.8432601880877743,0.629976580796253,0.7211796246648795,427.0,0.6496220542463317,0.6672137895953764,0.6528540001394806,0.6485861544870498,2249.0,0.6891175803393036,0.6496220542463317,0.658689722514579,2249.0
8,8.0,0.783375314861461,0.6412371134020619,0.7052154195011338,485.0,0.4164989939637827,0.7040816326530612,0.5233881163084703,294.0,0.6929824561403509,0.6253298153034301,0.6574202496532594,379.0,0.5131578947368421,0.6190476190476191,0.5611510791366907,315.0,0.7151898734177216,0.6475644699140402,0.6796992481203008,349.0,0.8201892744479495,0.6088992974238876,0.6989247311827957,427.0,0.6385060026678524,0.656898967928018,0.64102665795735,0.6376331406504417,2249.0,0.6787438442261086,0.6385060026678524,0.6480597363310012,2249.0
9,9.0,0.7889447236180904,0.6474226804123712,0.711211778029445,485.0,0.40828402366863903,0.7040816326530612,0.5168539325842697,294.0,0.661849710982659,0.604221635883905,0.6317241379310344,379.0,0.5220994475138122,0.6,0.5583456425406204,315.0,0.6666666666666666,0.6246418338108882,0.6449704142011834,349.0,0.8252427184466019,0.5971896955503513,0.6929347826086956,427.0,0.6278345931525122,0.6455145484827448,0.6295929130517629,0.6260067813158748,2249.0,0.6683065219146279,0.6278345931525122,0.637248964397661,2249.0
10,10.0,0.7530266343825666,0.6412371134020619,0.6926503340757239,485.0,0.39029126213592236,0.6836734693877551,0.4969097651421509,294.0,0.6646706586826348,0.5857519788918206,0.6227208976157084,379.0,0.5027472527472527,0.580952380952381,0.5390279823269514,315.0,0.6574074074074074,0.6103151862464183,0.6329866270430907,349.0,0.8394648829431438,0.5878220140515222,0.6914600550964187,427.0,0.6140506891951979,0.634601349716488,0.6149586904886598,0.6126259435500073,2249.0,0.6572369067147695,0.6140506891951979,0.6242764312903827,2249.0
11,11.0,0.7378640776699029,0.6268041237113402,0.6778149386845038,485.0,0.3754863813229572,0.6564625850340136,0.4777227722772277,294.0,0.6189111747851003,0.5699208443271768,0.5934065934065934,379.0,0.494475138121547,0.5682539682539682,0.5288035450516988,315.0,0.6408668730650154,0.5931232091690545,0.6160714285714286,349.0,0.8269896193771626,0.5597189695550351,0.6675977653631284,427.0,0.5949310804802135,0.6157655440569476,0.5957139500084314,0.5935695072257635,2249.0,0.6382264044928553,0.5949310804802135,0.6050414096422222,2249.0
12,12.0,0.801007556675063,0.6556701030927835,0.7210884353741497,485.0,0.43776824034334766,0.6938775510204082,0.5368421052631579,294.0,0.6752136752136753,0.6253298153034301,0.6493150684931508,379.0,0.5473684210526316,0.6603174603174603,0.5985611510791368,315.0,0.6794117647058824,0.66189111747851,0.6705370101596517,349.0,0.8253968253968254,0.6088992974238876,0.7008086253369272,427.0,0.6482881280569142,0.6610277472312375,0.6509975574394132,0.6461920659510291,2249.0,0.6825605662573183,0.6482881280569142,0.656051286446087,2249.0
