,model_layer,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,0.0,0.27546628407460544,0.5783132530120482,0.3731778425655976,332.0,0.42,0.6162528216704289,0.4995425434583714,443.0,0.6753731343283582,0.401330376940133,0.5034770514603616,451.0,0.2551440329218107,0.3987138263665595,0.3111668757841908,311.0,0.5196850393700787,0.17010309278350516,0.2563106796116505,388.0,0.6756756756756757,0.07352941176470588,0.13262599469496023,340.0,0.3801324503311258,0.4702240277284215,0.3730404637562301,0.34605016459585536,2265.0,0.4824836243438684,0.3801324503311258,0.3591941814335321,2265.0
1,1.0,0.3944099378881988,0.3825301204819277,0.38837920489296635,332.0,0.0,0.0,0.0,443.0,0.5580808080808081,0.49002217294900224,0.5218417945690673,451.0,0.266384778012685,0.40514469453376206,0.32142857142857145,311.0,0.27729885057471265,0.49742268041237114,0.3560885608856088,388.0,0.335978835978836,0.3735294117647059,0.35376044568245124,340.0,0.35055187637969093,0.3053588684225401,0.35810818002362815,0.3235830962431108,2265.0,0.30344766800929984,0.35055187637969093,0.3190718517638188,2265.0
2,2.0,0.3439153439153439,0.39156626506024095,0.36619718309859145,332.0,0.26517571884984026,0.1873589164785553,0.21957671957671956,443.0,0.45598591549295775,0.5742793791574279,0.508341511285574,451.0,0.3282442748091603,0.2765273311897106,0.300174520069808,311.0,0.3614457831325301,0.3865979381443299,0.3735990037359901,388.0,0.24924012158054712,0.2411764705882353,0.24514200298953664,340.0,0.3487858719646799,0.3340011929633966,0.34291771676974997,0.33550515679270326,2265.0,0.3374697395921209,0.3487858719646799,0.339854721129682,2265.0
3,3.0,0.2978723404255319,0.463855421686747,0.36277974087161363,332.0,0.42286751361161523,0.5259593679458239,0.46881287726358145,443.0,0.9289617486338798,0.376940133037694,0.5362776025236593,451.0,0.2823920265780731,0.2733118971061093,0.2777777777777778,311.0,0.2973352033660589,0.5463917525773195,0.38510445049954584,388.0,0.0,0.0,0.0,340.0,0.3770419426048565,0.3715714721025265,0.364409762058949,0.338458741489363,2265.0,0.4010488535792113,0.3770419426048565,0.355760526718775,2265.0
4,4.0,0.5933333333333334,0.2680722891566265,0.36929460580912865,332.0,0.3902439024390244,0.5417607223476298,0.45368620037807184,443.0,0.34970059880239523,0.647450110864745,0.45412130637636083,451.0,0.31443298969072164,0.19614147909967847,0.24158415841584158,311.0,0.7101449275362319,0.12628865979381443,0.21444201312910283,388.0,0.3358208955223881,0.39705882352941174,0.3638814016172507,340.0,0.3823399558498896,0.4489461078873492,0.36279534746531766,0.3495016142876261,2265.0,0.4481605658554168,0.3823399558498896,0.35781605120668386,2265.0
5,5.0,0.2857142857142857,0.4397590361445783,0.3463819691577698,332.0,0.8775510204081632,0.09706546275395034,0.17479674796747968,443.0,0.42526690391459077,0.5299334811529933,0.47186574531095754,451.0,0.29003021148036257,0.3086816720257235,0.2990654205607477,311.0,0.2901960784313726,0.5721649484536082,0.3850823937554206,388.0,0.48936170212765956,0.06764705882352941,0.11886304909560723,340.0,0.33951434878587194,0.44302003367940573,0.33587527655906385,0.2993425543079971,2265.0,0.46118590352697986,0.33951434878587194,0.303788068657491,2265.0
6,6.0,0.3163265306122449,0.37349397590361444,0.3425414364640884,332.0,0.5513307984790875,0.327313769751693,0.4107648725212465,443.0,0.7421052631578947,0.31263858093126384,0.4399375975039001,451.0,0.1694560669456067,0.5209003215434084,0.2557221783741121,311.0,0.34913793103448276,0.4175257731958763,0.38028169014084506,388.0,0.0,0.0,0.0,340.0,0.3240618101545254,0.3547260983715528,0.325312070220976,0.30487462916736535,2265.0,0.3850400793091278,0.3240618101545254,0.3184032428945895,2265.0
7,7.0,0.0,0.0,0.0,332.0,0.42300194931773877,0.4898419864559819,0.45397489539748953,443.0,0.292817679558011,0.4700665188470067,0.36085106382978727,451.0,0.19965870307167236,0.3762057877813505,0.26086956521739135,311.0,0.39185750636132316,0.39690721649484534,0.3943661971830986,388.0,0.4897959183673469,0.07058823529411765,0.12339331619537276,340.0,0.3196467991169978,0.2995219594460154,0.3006016241455503,0.26557583963718995,2265.0,0.3091019065769548,0.3196467991169978,0.2825399360902427,2265.0
8,8.0,0.40106951871657753,0.22590361445783133,0.28901734104046245,332.0,0.24444444444444444,0.09932279909706546,0.14125200642054572,443.0,0.8296296296296296,0.24833702882483372,0.3822525597269625,451.0,0.0,0.0,0.0,311.0,0.20023282887077998,0.8865979381443299,0.32668566001899335,388.0,0.5777777777777777,0.07647058823529412,0.13506493506493508,340.0,0.2653421633554084,0.3755256999065349,0.25610532812655906,0.21237875037864984,2265.0,0.39282194883534777,0.2653421633554084,0.22234013885918,2265.0
9,9.0,0.6,0.009036144578313253,0.017804154302670624,332.0,0.2755281690140845,0.7065462753950339,0.39645345155161493,443.0,0.4503171247357294,0.4722838137472284,0.4610389610389611,451.0,0.3389830508474576,0.06430868167202572,0.10810810810810809,311.0,0.338409475465313,0.5154639175257731,0.4085801838610827,388.0,0.0,0.0,0.0,340.0,0.33068432671081677,0.33387297001043076,0.2946064721530624,0.23199747647707292,2265.0,0.3360170452199356,0.33068432671081677,0.2567855022755608,2265.0
