,model_layer,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,0.0,0.4,0.5595238095238095,0.4665012406947891,168.0,0.34532374100719426,0.6666666666666666,0.4549763033175356,72.0,0.7854077253218884,0.5422222222222223,0.6415425065731815,675.0,0.33076923076923076,0.581081081081081,0.42156862745098034,74.0,0.49382716049382713,0.6837606837606838,0.5734767025089605,117.0,0.4984520123839009,0.46131805157593125,0.4791666666666667,349.0,0.5443298969072164,0.47562997832934023,0.5824287524717325,0.506205341202019,1455.0,0.6037305684683677,0.5443298969072164,0.5564905247450669,1455.0
1,1.0,0.5207373271889401,0.6726190476190477,0.5870129870129869,168.0,0.368,0.6388888888888888,0.467005076142132,72.0,0.8580246913580247,0.6177777777777778,0.7183462532299741,675.0,0.3602941176470588,0.6621621621621622,0.46666666666666673,74.0,0.5641025641025641,0.7521367521367521,0.6446886446886447,117.0,0.5880597014925373,0.5644699140401146,0.5760233918128655,349.0,0.6254295532646048,0.5432030669648542,0.6513424237707905,0.5766238365922116,1455.0,0.6811279300076883,0.6254295532646048,0.6378833929451839,1455.0
2,2.0,0.5213270142180095,0.6547619047619048,0.5804749340369393,168.0,0.46464646464646464,0.6388888888888888,0.5380116959064328,72.0,0.8428030303030303,0.6592592592592592,0.7398171238570241,675.0,0.4222222222222222,0.7702702702702703,0.5454545454545455,74.0,0.6095890410958904,0.7606837606837606,0.6768060836501901,117.0,0.6309523809523809,0.6074498567335244,0.618978102189781,349.0,0.659106529209622,0.581923358906333,0.681885656766268,0.6165904141824854,1455.0,0.6960125584211416,0.659106529209622,0.6674958731559467,1455.0
3,3.0,0.5330396475770925,0.7202380952380952,0.6126582278481012,168.0,0.5510204081632653,0.75,0.6352941176470588,72.0,0.8761384335154827,0.7125925925925926,0.7859477124183006,675.0,0.5267857142857143,0.7972972972972973,0.6344086021505376,74.0,0.6326530612244898,0.7948717948717948,0.7045454545454547,117.0,0.6956521739130435,0.6418338108882522,0.6676602086438153,349.0,0.709278350515464,0.6358815731131814,0.736138931814672,0.6734190538755446,1455.0,0.7397956924534143,0.709278350515464,0.7158583726385372,1455.0
4,4.0,0.5454545454545454,0.7142857142857143,0.6185567010309277,168.0,0.5698924731182796,0.7361111111111112,0.6424242424242426,72.0,0.8631386861313869,0.7007407407407408,0.7735077677841373,675.0,0.5130434782608696,0.7972972972972973,0.6243386243386244,74.0,0.6575342465753424,0.8205128205128205,0.7300380228136882,117.0,0.7207207207207207,0.6876790830945558,0.7038123167155425,349.0,0.7154639175257732,0.6449640250435241,0.7427711278403732,0.6821129458511939,1455.0,0.7434470725853722,0.7154639175257732,0.7213304604027616,1455.0
5,5.0,0.6417112299465241,0.7142857142857143,0.676056338028169,168.0,0.5686274509803921,0.8055555555555556,0.6666666666666667,72.0,0.8640275387263339,0.7437037037037038,0.7993630573248408,675.0,0.6,0.8108108108108109,0.6896551724137931,74.0,0.6956521739130435,0.8205128205128205,0.7529411764705882,117.0,0.7319884726224783,0.7277936962750716,0.7298850574712644,349.0,0.7491408934707904,0.6836678110314619,0.7704437168572794,0.7190945780625536,1455.0,0.7651013972748801,0.7491408934707904,0.7525814528839524,1455.0
6,6.0,0.6616161616161617,0.7797619047619048,0.7158469945355193,168.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,72.0,0.9011532125205931,0.8103703703703704,0.8533541341653665,675.0,0.5961538461538461,0.8378378378378378,0.6966292134831461,74.0,0.7591240875912408,0.8888888888888888,0.8188976377952755,117.0,0.7692307692307693,0.7163323782234957,0.7418397626112759,349.0,0.793127147766323,0.7335939652330543,0.8110874522359718,0.7659664186368921,1455.0,0.8056721280801273,0.793127147766323,0.7958244767005777,1455.0
7,7.0,0.65625,0.75,0.7,168.0,0.6989247311827957,0.9027777777777778,0.7878787878787878,72.0,0.9046822742474916,0.8014814814814815,0.8499607227022781,675.0,0.6530612244897959,0.8648648648648649,0.7441860465116279,74.0,0.7428571428571429,0.8888888888888888,0.8093385214007782,117.0,0.7784431137724551,0.7449856733524355,0.7613469985358712,349.0,0.7972508591065293,0.7390364144249468,0.825499781060908,0.7754518461715573,1455.0,0.8097254837081345,0.7972508591065293,0.7996723281691276,1455.0
8,8.0,0.7374301675977654,0.7857142857142857,0.760806916426513,168.0,0.6956521739130435,0.8888888888888888,0.7804878048780488,72.0,0.9107438016528926,0.8162962962962963,0.8609375,675.0,0.6336633663366337,0.8648648648648649,0.7314285714285713,74.0,0.7761194029850746,0.8888888888888888,0.8286852589641434,117.0,0.7703488372093024,0.7593123209169055,0.7647907647907648,349.0,0.8109965635738832,0.7539929582824519,0.8339942575950218,0.7878561360813402,1455.0,0.8214955974144862,0.8109965635738832,0.8131528267404602,1455.0
9,9.0,0.7272727272727273,0.7619047619047619,0.7441860465116279,168.0,0.65625,0.875,0.75,72.0,0.9163879598662207,0.8118518518518518,0.8609583660644147,675.0,0.6336633663366337,0.8648648648648649,0.7314285714285713,74.0,0.7910447761194029,0.905982905982906,0.8446215139442231,117.0,0.7542857142857143,0.7564469914040115,0.7553648068669528,349.0,0.8061855670103093,0.7464840906467831,0.8293418960013995,0.7810932174692984,1455.0,0.8183386483107302,0.8061855670103093,0.808755259052363,1455.0
