,model_layer,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,5_precision,5_recall,5_f1-score,5_support,accuracy,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
0,0.0,0.5161290322580645,0.09523809523809523,0.1608040201005025,168.0,0.09066666666666667,0.4722222222222222,0.1521252796420582,72.0,0.7652733118971061,0.35259259259259257,0.4827586206896551,675.0,0.16161616161616163,0.21621621621621623,0.18497109826589594,74.0,0.3027027027027027,0.47863247863247865,0.3708609271523179,117.0,0.40969162995594716,0.5329512893982808,0.4632627646326276,349.0,0.3752577319587629,0.37434658418277483,0.35797548238331434,0.3024637850805096,1455.0,0.5499349511892365,0.3752577319587629,0.4004037519463328,1455.0
1,1.0,0.39644970414201186,0.39880952380952384,0.39762611275964393,168.0,0.11031175059952038,0.6388888888888888,0.18813905930470348,72.0,0.8167202572347267,0.3762962962962963,0.5152129817444219,675.0,0.0,0.0,0.0,74.0,0.41361256544502617,0.6752136752136753,0.5129870129870129,117.0,0.48501362397820164,0.5100286532951289,0.49720670391061456,349.0,0.4288659793814433,0.37035131689991446,0.4332061729172522,0.35186197845106615,1455.0,0.5797213710638656,0.4288659793814433,0.454749540945243,1455.0
2,2.0,0.3141025641025641,0.5833333333333334,0.4083333333333333,168.0,0.09936575052854123,0.6527777777777778,0.17247706422018347,72.0,0.9090909090909091,0.014814814814814815,0.029154518950437316,675.0,0.29012345679012347,0.6351351351351351,0.3983050847457627,74.0,0.4397163120567376,0.5299145299145299,0.48062015503875966,117.0,0.41292134831460675,0.42120343839541546,0.41702127659574467,349.0,0.2824742268041237,0.41088672348058036,0.4728631715618344,0.3176519054807035,1455.0,0.6120862015935083,0.2824742268041237,0.22814103701583133,1455.0
3,3.0,0.21880650994575046,0.7202380952380952,0.3356449375866852,168.0,0.3419354838709677,0.7361111111111112,0.46696035242290757,72.0,0.7546296296296297,0.482962962962963,0.5889792231255646,675.0,0.0,0.0,0.0,74.0,0.5950413223140496,0.6153846153846154,0.6050420168067228,117.0,0.4793814432989691,0.2664756446991404,0.34254143646408847,349.0,0.4570446735395189,0.3982990648432277,0.4701954048993209,0.38986132773432813,1455.0,0.5551050219461717,0.4570446735395189,0.46591570294922474,1455.0
4,4.0,0.7777777777777778,0.041666666666666664,0.0790960451977401,168.0,0.6190476190476191,0.18055555555555555,0.27956989247311825,72.0,0.7284263959390863,0.42518518518518517,0.5369504209541627,675.0,0.527027027027027,0.527027027027027,0.527027027027027,74.0,0.189453125,0.8290598290598291,0.30842607313195547,117.0,0.5617977528089888,0.7163323782234957,0.6297229219143577,349.0,0.4762886597938144,0.5672549496000832,0.4533044402862932,0.3934653967830602,1455.0,0.6351610610668835,0.4762886597938144,0.4747201734019892,1455.0
5,5.0,0.39158576051779936,0.7202380952380952,0.5073375262054508,168.0,0.7368421052631579,0.19444444444444445,0.3076923076923077,72.0,0.6767830045523521,0.6607407407407407,0.6686656671664168,675.0,0.2774869109947644,0.7162162162162162,0.4,74.0,0.6454545454545455,0.6068376068376068,0.6255506607929515,117.0,0.562874251497006,0.2693409742120344,0.3643410852713178,349.0,0.5491408934707904,0.548504429713271,0.5279696796148563,0.47893120785474075,1455.0,0.5966755288130754,0.5491408934707904,0.5420483449939234,1455.0
6,6.0,0.21621621621621623,0.7619047619047619,0.3368421052631579,168.0,0.3287671232876712,0.3333333333333333,0.33103448275862074,72.0,0.0,0.0,0.0,675.0,0.0880503144654088,0.1891891891891892,0.12017167381974249,74.0,0.1744,0.9316239316239316,0.2938005390835579,117.0,1.0,0.017191977077363897,0.033802816901408454,349.0,0.19312714776632303,0.301238942328216,0.37220719885476333,0.18594193630441458,1455.0,0.2995986807364102,0.19312714776632303,0.09311924843770446,1455.0
7,7.0,0.3537117903930131,0.48214285714285715,0.4080604534005038,168.0,0.22844827586206898,0.7361111111111112,0.3486842105263158,72.0,0.6686274509803921,0.5051851851851852,0.5755274261603375,675.0,0.4915254237288136,0.3918918918918919,0.43609022556390975,74.0,0.8,0.03418803418803419,0.06557377049180328,117.0,0.530952380952381,0.6389684813753582,0.5799739921976593,349.0,0.5024054982817869,0.5122108869861114,0.46474792681573956,0.4023183463900883,1455.0,0.5790176277444489,0.5024054982817869,0.49793413271729253,1455.0
8,8.0,0.27246376811594203,0.5595238095238095,0.3664717348927875,168.0,0.5,0.013888888888888888,0.02702702702702703,72.0,0.7490494296577946,0.29185185185185186,0.4200426439232409,675.0,0.34951456310679613,0.4864864864864865,0.40677966101694923,74.0,0.40625,0.2222222222222222,0.287292817679558,117.0,0.3952802359882006,0.7679083094555874,0.5219084712755598,349.0,0.4274914089347079,0.44542633281145555,0.39031359473814103,0.33825372596918707,1455.0,0.5489556069362711,0.4274914089347079,0.40749346605845693,1455.0
9,9.0,0.23404255319148937,0.8511904761904762,0.3671373555840822,168.0,0.19047619047619047,0.3333333333333333,0.24242424242424246,72.0,0.7357293868921776,0.5155555555555555,0.6062717770034843,675.0,0.3288590604026846,0.6621621621621622,0.4394618834080718,74.0,0.7391304347826086,0.1452991452991453,0.24285714285714288,117.0,0.6575342465753424,0.13753581661891118,0.2274881516587678,349.0,0.4323024054982818,0.48096197872008223,0.4408460815265973,0.3542734254892986,1455.0,0.6116453980734256,0.4323024054982818,0.4320927152477087,1455.0
